Test,CPU,DPU,M_C2D,M_D2C,UPMEM,U_C2D,U_D2C
HST-S,2.922,301.329,82.772,0.286,129.757,15.797,0.158
HST-L,3.569,520.058,79.244,0.341,436.494,14.623,0.154
SCAN-SSA,2005.502,907.988,183.024,837.772,286.303,443.957,804.001
RED,7.731,415.224,289.569,,154.073,92.994,
SCAN-RSS,28.300,913.442,185.200,915.286,234.249,59.095,141.952
TRNS,22.236,1485.280,10305.093,644.958,416.274,6842.449,62.648
SEL,21.125,602.101,357.098,1577.972,137.953,58.769,74.981
UNI,24.631,479.751,345.531,2261.717,95.413,57.333,128.431
BS,0.002,128.768,134.312,0.209,0.472,32.964,0.100
TS,44.827,251.313,4.196,0.185,79.837,3.618,1.268
MLP,38.874,132.430,9.292,0.177,3.335,6.235,0.164
VA,678.866,244.430,261.671,533.800,151.946,289.607,273.511
GEMV,258.560,229.457,57.952,0.224,58.095,61.065,0.244
BFS,344.728,2780.500,18.370,3.229,770.293,67.507,12.297
